00:32:07:252 [ALWAYS]	GUDE Logging Started
00:32:07:253 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:32:07:253 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:32:07:253 [ERROR]	Initialize resume cache pointer failure
00:32:07:253 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
00:32:07:253 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
00:32:13:340 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
00:32:13:340 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:32:13:340 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:32:13:340 [ERROR]	Initialize resume cache pointer failure
00:32:13:340 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
00:32:13:340 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
